Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
OGLE,I,7530.76585,19.518,0.092,19.518,0.09199999999999998
OGLE,I,7530.90818,19.364,0.109,19.364,0.10900000000000001
OGLE,I,7534.74234,19.272,0.103,19.272,0.103
OGLE,I,7534.85582,19.318,0.072,19.318,0.07199999999999998
OGLE,I,7536.62811,19.24,0.092,19.24,0.09199999999999997
OGLE,I,7536.75235,19.733,0.081,19.733,0.08099999999999999
OGLE,I,7536.85192,19.326,0.067,19.326,0.067
OGLE,I,7545.77745,19.407,0.062,19.407,0.061999999999999986
OGLE,I,7545.89626,19.187,0.067,19.187,0.067
OGLE,I,7546.70306,19.302,0.065,19.302,0.065
OGLE,I,7546.82018,19.833,0.145,19.833,0.14499999999999996
OGLE,I,7546.92314,19.301,0.1,19.301,0.09999999999999998
OGLE,I,7547.57282,19.316,0.092,19.316,0.092
OGLE,I,7547.69349,19.333,0.058,19.333,0.057999999999999996
OGLE,I,7547.81355,19.212,0.059,19.212,0.05899999999999999
OGLE,I,7547.93024,19.144,0.066,19.144,0.066
OGLE,I,7548.84231,19.634,0.066,19.634,0.06599999999999999
OGLE,I,7549.7042,19.337,0.053,19.337,0.05299999999999999
OGLE,I,7549.82453,19.541,0.071,19.541,0.07099999999999998
OGLE,I,7549.92275,19.43,0.098,19.43,0.09800000000000002
OGLE,I,7550.67746,19.237,0.064,19.237,0.06399999999999999
OGLE,I,7550.81707,19.7,0.099,19.7,0.099
OGLE,I,7550.91604,19.167,0.081,19.167,0.081
OGLE,I,7554.59231,19.361,0.073,19.361,0.073
OGLE,I,7554.7561,19.378,0.083,19.378,0.08300000000000002
OGLE,I,7555.61397,19.531,0.082,19.531,0.08199999999999999
OGLE,I,7555.72285,19.422,0.064,19.422,0.06399999999999999
OGLE,I,7555.82411,19.64,0.086,19.64,0.08599999999999997
OGLE,I,7557.55345,19.566,0.118,19.566,0.11799999999999998
OGLE,I,7557.66281,19.489,0.087,19.489,0.08699999999999998
OGLE,I,7557.79716,19.723,0.105,19.723,0.10499999999999998
OGLE,I,7561.53444,19.685,0.154,19.685,0.154
OGLE,I,7561.6759,19.606,0.103,19.606,0.10299999999999998
OGLE,I,7561.78786,19.462,0.09,19.462,0.08999999999999998
OGLE,I,7562.54699,19.286,0.079,19.286,0.07899999999999999
OGLE,I,7562.67703,19.282,0.105,19.282,0.10499999999999998
OGLE,I,7566.63916,19.298,0.064,19.298,0.064
OGLE,I,7566.74105,19.426,0.071,19.426,0.07099999999999998
OGLE,I,7566.84022,19.586,0.161,19.586,0.16099999999999998
OGLE,I,7567.54852,19.359,0.083,19.359,0.083
